district,crop_type,plot_acres,soil_nitrogen_kg_ha,soil_ph,organic_carbon_pct,phosphorus_kg_ha,potassium_kg_ha,growth_stage,days_since_sowing,ndvi,optimal_solid_urea_pct,optimal_nano_urea_pct,solid_urea_bags,nano_urea_bottles,water_liters,expected_yield_quintal_acre
Moga,paddy,5,180.7,8.06,0.455,25.6,140.0,panicle_initiation,49,0.579,51.2,48.8,5.51,5.24,625,26.87
Sangrur,wheat,1,303.9,7.68,0.496,10.2,124.6,jointing,77,0.588,42.7,57.3,1.0,1.35,125,18.39
Moga,paddy,3,220.3,8.15,0.481,25.8,122.7,seedling,11,0.223,63.3,36.7,4.09,2.37,375,26.12
Firozpur,wheat,12,257.3,7.71,0.406,20.9,224.0,tillering,24,0.387,52.7,47.3,14.82,13.33,1500,19.21
Firozpur,paddy,4,202.9,8.55,0.456,36.2,227.9,tillering,40,0.415,56.0,44.0,4.81,3.79,500,26.69
Ludhiana,wheat,1,239.3,7.47,0.403,10.5,159.8,jointing,53,0.67,45.5,54.5,1.07,1.28,125,19.05
Moga,paddy,4,217.9,7.3,0.385,33.4,253.2,flowering,73,0.655,41.0,59.0,3.53,5.08,500,27.74
Patiala,paddy,1,248.6,7.73,0.523,28.3,205.5,tillering,43,0.375,45.7,54.3,0.98,1.17,125,28.83
Jalandhar,paddy,10,194.9,7.59,0.522,18.0,135.4,panicle_initiation,64,0.582,50.5,49.5,10.86,10.64,1250,28.93
Sangrur,wheat,2,195.6,7.46,0.583,21.4,144.4,germination,6,0.286,50.0,50.0,2.34,2.35,250,18.68
Sangrur,wheat,12,223.4,7.24,0.338,21.8,308.6,germination,19,0.205,58.2,41.8,16.4,11.76,1500,18.48
Ludhiana,paddy,4,217.3,8.17,0.444,11.2,189.0,seedling,2,0.238,66.9,33.1,5.75,2.85,500,25.35
Moga,paddy,2,261.6,7.46,0.496,22.9,246.5,panicle_initiation,61,0.71,48.8,51.2,2.1,2.2,250,27.86
Patiala,paddy,3,264.9,6.82,0.529,17.9,249.0,flowering,74,0.738,34.7,65.3,2.24,4.22,375,28.49
Moga,wheat,12,252.4,7.45,0.324,44.4,223.3,germination,1,0.299,62.0,38.0,17.46,10.7,1500,18.62
Moga,wheat,5,203.9,8.0,0.548,41.0,276.0,heading,91,0.787,41.6,58.4,4.88,6.86,625,21.73
Gurdaspur,paddy,2,175.7,7.08,0.501,34.2,250.4,seedling,3,0.243,65.5,34.5,2.82,1.48,250,27.32
Firozpur,paddy,4,222.1,8.08,0.246,22.9,173.0,grain_filling,109,0.602,49.0,51.0,4.22,4.38,500,28.96
Ludhiana,wheat,3,281.1,7.34,0.309,32.6,155.4,heading,94,0.783,37.4,62.6,2.63,4.4,375,19.74
Patiala,paddy,7,180.5,7.17,0.417,19.4,217.1,tillering,40,0.441,54.9,45.1,8.27,6.79,875,26.14
Moga,wheat,7,227.6,8.17,0.5,34.4,260.5,grain_filling,110,0.612,45.5,54.5,7.48,8.94,875,22.38
